2025-12-28 10:57:38,296 | INFO | push_on_max_http             | http         | returned   |     0.001364s | records=10
2025-12-28 10:57:38,298 | INFO | push_on_max_http             | http         | returned   |     0.001341s | records=10
2025-12-28 10:57:38,300 | INFO | push_on_max_http             | http         | returned   |     0.001446s | records=10
2025-12-28 10:57:38,302 | INFO | push_on_max_http             | http         | returned   |     0.001507s | records=10
2025-12-28 10:57:38,304 | INFO | push_on_max_http             | http         | returned   |     0.001209s | records=10
2025-12-28 10:57:38,306 | INFO | push_on_max_http             | http         | returned   |     0.001399s | records=10
2025-12-28 10:57:38,308 | INFO | push_on_max_http             | http         | returned   |     0.001319s | records=10
2025-12-28 10:57:38,310 | INFO | push_on_max_http             | http         | returned   |     0.001353s | records=10
2025-12-28 10:57:38,312 | INFO | push_on_max_http             | http         | returned   |     0.001512s | records=10
2025-12-28 10:57:38,314 | INFO | push_on_max_http             | http         | returned   |     0.001329s | records=10
2025-12-28 10:57:38,315 | INFO | push_on_max_http             | http         | returned   |     0.001263s | records=10
2025-12-28 10:57:38,317 | INFO | push_on_max_http             | http         | returned   |     0.001254s | records=10
2025-12-28 10:57:38,319 | INFO | push_on_max_http             | http         | returned   |     0.001327s | records=10
2025-12-28 10:57:38,321 | INFO | push_on_max_http             | http         | returned   |     0.001290s | records=10
2025-12-28 10:57:38,323 | INFO | push_on_max_http             | http         | returned   |     0.001377s | records=10
2025-12-28 10:57:38,325 | INFO | push_on_max_http             | http         | returned   |     0.001228s | records=10
2025-12-28 10:57:38,327 | INFO | push_on_max_http             | http         | returned   |     0.001372s | records=10
2025-12-28 10:57:38,329 | INFO | push_on_max_http             | http         | returned   |     0.001282s | records=10
2025-12-28 10:57:38,331 | INFO | push_on_max_http             | http         | returned   |     0.001373s | records=10
2025-12-28 10:57:38,333 | INFO | push_on_max_http             | http         | returned   |     0.001433s | records=10
2025-12-28 10:57:38,335 | INFO | push_on_max_http             | http         | returned   |     0.001474s | records=10
2025-12-28 10:57:38,337 | INFO | push_on_max_http             | http         | returned   |     0.001385s | records=10
2025-12-28 10:57:38,339 | INFO | push_on_max_http             | http         | returned   |     0.001492s | records=10
2025-12-28 10:57:38,341 | INFO | push_on_max_http             | http         | returned   |     0.001510s | records=10
2025-12-28 10:57:38,343 | INFO | push_on_max_http             | http         | returned   |     0.001230s | records=10
2025-12-28 10:57:38,345 | INFO | push_on_max_http             | http         | returned   |     0.001209s | records=10
2025-12-28 10:57:38,347 | INFO | push_on_max_http             | http         | returned   |     0.001422s | records=10
2025-12-28 10:57:38,349 | INFO | push_on_max_http             | http         | returned   |     0.001366s | records=10
2025-12-28 10:57:38,351 | INFO | push_on_max_http             | http         | returned   |     0.001427s | records=10
2025-12-28 10:57:38,353 | INFO | push_on_max_http             | http         | returned   |     0.001424s | records=10
2025-12-28 10:57:38,355 | INFO | push_on_max_http             | http         | returned   |     0.001215s | records=10
2025-12-28 10:57:38,357 | INFO | push_on_max_http             | http         | returned   |     0.001387s | records=10
2025-12-28 10:57:38,359 | INFO | push_on_max_http             | http         | returned   |     0.001297s | records=10
2025-12-28 10:57:38,360 | INFO | push_on_max_http             | http         | returned   |     0.001158s | records=10
2025-12-28 10:57:38,362 | INFO | push_on_max_http             | http         | returned   |     0.001152s | records=10
2025-12-28 10:57:38,364 | INFO | push_on_max_http             | http         | returned   |     0.001310s | records=10
2025-12-28 10:57:38,366 | INFO | push_on_max_http             | http         | returned   |     0.001623s | records=10
2025-12-28 10:57:38,368 | INFO | push_on_max_http             | http         | returned   |     0.001489s | records=10
2025-12-28 10:57:38,370 | INFO | push_on_max_http             | http         | returned   |     0.001454s | records=10
2025-12-28 10:57:38,372 | INFO | push_on_max_http             | http         | returned   |     0.001239s | records=10
2025-12-28 10:57:38,374 | INFO | push_on_max_http             | http         | returned   |     0.001890s | records=10
2025-12-28 10:57:38,377 | INFO | push_on_max_http             | http         | returned   |     0.001398s | records=10
2025-12-28 10:57:38,379 | INFO | push_on_max_http             | http         | returned   |     0.001410s | records=10
