2026-01-10 13:49:07,524 | INFO | push_on_max_http             | http         | returned   |     0.004549s | records=10
2026-01-10 13:49:07,529 | INFO | push_on_max_http             | http         | returned   |     0.004348s | records=10
2026-01-10 13:49:07,535 | INFO | push_on_max_http             | http         | returned   |     0.005086s | records=10
2026-01-10 13:49:07,541 | INFO | push_on_max_http             | http         | returned   |     0.004502s | records=10
2026-01-10 13:49:07,546 | INFO | push_on_max_http             | http         | returned   |     0.004552s | records=10
2026-01-10 13:49:07,552 | INFO | push_on_max_http             | http         | returned   |     0.005075s | records=10
2026-01-10 13:49:07,558 | INFO | push_on_max_http             | http         | returned   |     0.004776s | records=10
2026-01-10 13:49:07,564 | INFO | push_on_max_http             | http         | returned   |     0.004856s | records=10
2026-01-10 13:49:07,570 | INFO | push_on_max_http             | http         | returned   |     0.005101s | records=10
2026-01-10 13:49:07,576 | INFO | push_on_max_http             | http         | returned   |     0.005474s | records=10
2026-01-10 13:49:07,582 | INFO | push_on_max_http             | http         | returned   |     0.005211s | records=10
2026-01-10 13:49:07,588 | INFO | push_on_max_http             | http         | returned   |     0.005376s | records=10
2026-01-10 13:49:07,594 | INFO | push_on_max_http             | http         | returned   |     0.005295s | records=10
2026-01-10 13:49:07,600 | INFO | push_on_max_http             | http         | returned   |     0.005124s | records=10
2026-01-10 13:49:07,607 | INFO | push_on_max_http             | http         | returned   |     0.005373s | records=10
2026-01-10 13:49:07,613 | INFO | push_on_max_http             | http         | returned   |     0.004961s | records=10
2026-01-10 13:49:07,618 | INFO | push_on_max_http             | http         | returned   |     0.004986s | records=10
2026-01-10 13:49:07,624 | INFO | push_on_max_http             | http         | returned   |     0.004877s | records=10
2026-01-10 13:49:07,629 | INFO | push_on_max_http             | http         | returned   |     0.004377s | records=10
2026-01-10 13:49:07,635 | INFO | push_on_max_http             | http         | returned   |     0.004727s | records=10
2026-01-10 13:49:07,640 | INFO | push_on_max_http             | http         | returned   |     0.004524s | records=10
2026-01-10 13:49:07,646 | INFO | push_on_max_http             | http         | returned   |     0.004639s | records=10
2026-01-10 13:49:07,671 | INFO | push_on_max_http             | http         | returned   |     0.024529s | records=10
2026-01-10 13:49:07,678 | INFO | push_on_max_http             | http         | returned   |     0.005767s | records=10
2026-01-10 13:49:07,684 | INFO | push_on_max_http             | http         | returned   |     0.005050s | records=10
2026-01-10 13:49:07,690 | INFO | push_on_max_http             | http         | returned   |     0.004829s | records=10
2026-01-10 13:49:07,695 | INFO | push_on_max_http             | http         | returned   |     0.004720s | records=10
2026-01-10 13:49:07,702 | INFO | push_on_max_http             | http         | returned   |     0.005546s | records=10
2026-01-10 13:49:07,708 | INFO | push_on_max_http             | http         | returned   |     0.005208s | records=10
2026-01-10 13:49:07,714 | INFO | push_on_max_http             | http         | returned   |     0.004984s | records=10
2026-01-10 13:49:07,719 | INFO | push_on_max_http             | http         | returned   |     0.004877s | records=10
2026-01-10 13:49:07,725 | INFO | push_on_max_http             | http         | returned   |     0.005028s | records=10
2026-01-10 13:49:07,731 | INFO | push_on_max_http             | http         | returned   |     0.004778s | records=10
2026-01-10 13:49:07,737 | INFO | push_on_max_http             | http         | returned   |     0.005072s | records=10
2026-01-10 13:49:07,743 | INFO | push_on_max_http             | http         | returned   |     0.004697s | records=10
2026-01-10 13:49:07,748 | INFO | push_on_max_http             | http         | returned   |     0.004894s | records=10
2026-01-10 13:49:07,754 | INFO | push_on_max_http             | http         | returned   |     0.004747s | records=10
2026-01-10 13:49:07,760 | INFO | push_on_max_http             | http         | returned   |     0.004703s | records=10
2026-01-10 13:49:07,765 | INFO | push_on_max_http             | http         | returned   |     0.004446s | records=10
2026-01-10 13:49:07,771 | INFO | push_on_max_http             | http         | returned   |     0.005217s | records=10
2026-01-10 13:49:07,777 | INFO | push_on_max_http             | http         | returned   |     0.004623s | records=10
2026-01-10 13:49:07,782 | INFO | push_on_max_http             | http         | returned   |     0.004404s | records=10
2026-01-10 13:49:07,788 | INFO | push_on_max_http             | http         | returned   |     0.005019s | records=10
2026-01-10 13:49:07,794 | INFO | push_on_max_http             | http         | returned   |     0.005337s | records=10
2026-01-10 13:49:07,800 | INFO | push_on_max_http             | http         | returned   |     0.004476s | records=10
2026-01-10 13:49:07,806 | INFO | push_on_max_http             | http         | returned   |     0.005327s | records=10
2026-01-10 13:49:07,812 | INFO | push_on_max_http             | http         | returned   |     0.005589s | records=10
2026-01-10 13:49:07,819 | INFO | push_on_max_http             | http         | returned   |     0.005989s | records=10
2026-01-10 13:49:07,827 | INFO | push_on_max_http             | http         | returned   |     0.006587s | records=10
2026-01-10 13:49:07,834 | INFO | push_on_max_http             | http         | returned   |     0.006504s | records=10
2026-01-10 13:49:07,840 | INFO | push_on_max_http             | http         | returned   |     0.005103s | records=10
2026-01-10 13:49:07,846 | INFO | push_on_max_http             | http         | returned   |     0.004877s | records=10
2026-01-10 13:49:07,852 | INFO | push_on_max_http             | http         | returned   |     0.005234s | records=10
2026-01-10 13:49:07,858 | INFO | push_on_max_http             | http         | returned   |     0.005169s | records=10
2026-01-10 13:49:07,863 | INFO | push_on_max_http             | http         | returned   |     0.004495s | records=10
2026-01-10 13:49:07,869 | INFO | push_on_max_http             | http         | returned   |     0.004617s | records=10
2026-01-10 13:49:07,874 | INFO | push_on_max_http             | http         | returned   |     0.004804s | records=10
2026-01-10 13:49:07,880 | INFO | push_on_max_http             | http         | returned   |     0.004516s | records=10
2026-01-10 13:49:07,886 | INFO | push_on_max_http             | http         | returned   |     0.004815s | records=10
2026-01-10 13:49:07,892 | INFO | push_on_max_http             | http         | returned   |     0.005285s | records=10
2026-01-10 13:49:07,898 | INFO | push_on_max_http             | http         | returned   |     0.005095s | records=10
2026-01-10 13:49:07,905 | INFO | push_on_max_http             | http         | returned   |     0.005869s | records=10
2026-01-10 13:49:07,910 | INFO | push_on_max_http             | http         | returned   |     0.004780s | records=10
2026-01-10 13:49:07,917 | INFO | push_on_max_http             | http         | returned   |     0.006332s | records=10
2026-01-10 13:49:07,923 | INFO | push_on_max_http             | http         | returned   |     0.004884s | records=10
2026-01-10 13:49:07,929 | INFO | push_on_max_http             | http         | returned   |     0.004500s | records=10
2026-01-10 13:49:07,934 | INFO | push_on_max_http             | http         | returned   |     0.004757s | records=10
